tweet_body,states_id,hand_topic_id
"Today in the #neleg #dist45 https://t.co/4I8HdKmW7S",16,5
"Debating Local Control? #ialegis @IowaSenate https://t.co/Q0AXBVyloI",16,5
"Happy to help recognize #dist45 Scouts today, including Paul Terneus, Eagle Scout with several Palms. https://t.co/SBa7eO4qwA",16,5
"Sen. Chelgren, We did vote on $8.75 in February 2015 #ialegis @IowaSenate https://t.co/AkcUUzYJCu",16,20
"Today I helped recognize Katherine Knight, #dist45 Scout, Summit Award Rank #neleg https://t.co/9J6wn9l86u",16,20
"Sen. @JoeBolkcom Thanking local officials for all they do! #ialegis @IowaSenate https://t.co/e5OauUqVU1",16,20
"Today in the #neleg #dist45 https://t.co/H1XNWUbOJH",16,20
"Back on Work Comp! #IALegis @IowaSenate https://t.co/79zD3x2xsz",16,20
"Today in the #neleg #dist45 https://t.co/FWKaszBqer",16,20
"Tony Bisignano on Republicans Work Comp plan! #ialegis @IowaSenate https://t.co/afK8MjGCkL",16,20
"Had a great visit with 4th graders from Two Springs Elementary in Bellevue who were at the Capitol today #neleg https://t.co/Vn91MsdEjj",16,20
"How I feel after the work comp debate! We tried #saveiaworkers #ialegis @IowaSenate https://t.co/Cxqmxa0Pyy",16,1
"LB 1067 to eliminate the Common Levy &amp; bolster poverty funding passes second round. #NEleg",16,1
"First 2 Bills! 49-0 #Ialegis @IowaSenate https://t.co/vhZeYDnB5L",16,5
"My latest #neleg update is now available https://t.co/BQlQYTQqvg #dist45",16,5
"Committee Work! Commerce, Judiciary, State Gov., Veteran Affairs #ialegis @Iowa @IowaSenate https://t.co/HWfzEqVAte",16,5
"Good overview of LC bill to end common levy. LD45 school gains: OPS &gt; $5 M; BPS &gt; $1 M; SP &gt; $4 M. #NeLeg https://t.co/ChnKQyCBoe",16,5
"Final Bill of the Day! Then Veteran Affairs and Commerce! No Late night!! #ialegis @IowaSenate https://t.co/QhR3Ll9TCe",16,5
"Today in the #neleg #dist45 https://t.co/hPwj83gEXX",16,5
"Ruling on Germainness!! #ialegis @IowaSenate https://t.co/AgQmcjULAy",16,5
"Had a great meeting with Normandy Hills area residents &amp; @NDOR last night regarding area roads construction #neleg https://t.co/hDzAmMVgNE",16,5
"Strengthing Iowa Safe Haven Law! 49-0 #ialegis @IowaSenate https://t.co/8IMIVNTJ3X",16,20
"Thanks to my #neleg colleagues who just passed LB 754, which creates a liaison and commission for military and veterans affairs",16,20
"Tornado Drill at the Capitol! #ialegis @IowaSenate https://t.co/i4Mwo0SHR6",16,20
"Today in the #neleg #dist45 https://t.co/TFlsV2MUTm",16,20
"Again Waiting to vote! #ialegis @IowaSenate https://t.co/x5qLSuby5a",16,16
"LB 1067 to eliminate the common levy and to provide funding for improving outcomes for students in poverty has passed final round #neleg",16,16
"Helping Mental Health professionals!!#ialegis @IowaSenate HF 593 49-0 https://t.co/DzGEJgaRgc",16,20
"Happy to visit with 4th graders from Betz Elementary this morning on their Capitol tour @BellevueSchools #neleg https://t.co/TSGAKLsUQS",16,20
"#oabaab https://t.co/JDI3xTzjeX",16,12
"Had another fun school visit from @BirchcrestTiger Good questions &amp; lots of enthusiasm from these 4th graders #neleg https://t.co/aj6rPgKI9a",16,12
"Iowa Finance Authority Bill passes 46-0 #ialegis @IowaSenate https://t.co/QSBI4JkeEo",16,20
"Excited to be attending the Bellevue student Art Show @BellevueEast North Gym.  Come see the art! The show runs 1-3 with awards at 2.",16,20
"Turtle Bill got pulled for today. #ialegis @IowaSenate https://t.co/EgWbrzzfYM",16,3
"My latest #neleg newsletter is now available https://t.co/EkoBDZ1V5p #dist45 https://t.co/B1yMMUbFet",16,3
"About to Debate County Compensation Boards in Local Government #ialegis @IowaSenate https://t.co/El0GwDR9S6",16,20
"Grateful to be part of the signing ceremony for LB1067 #neleg https://t.co/RBpMWZ8p7R",16,20
"Eliminate County Compensation Board Passed Local Government on Partisan Vote. #ialegis @IowaSenate https://t.co/irEYVUMedW",16,15
"Today in the #neleg #dist45 https://t.co/XAOHVm6W6V",16,15
"Heading home! #ialegis @IowaSenate https://t.co/DPWdwdw0Tx",16,7
"My latest #neleg newsletter is now available https://t.co/YK4jhtms2f #dist45",16,7
"Just a little shopping at HY-Vee. #waybusy https://t.co/K9WvlVAO6o",16,20
"Story @OWHnews: a new day in Sarpy County: Leaders riding high after recent progress http ://ow.ly/4nt97w #neleg #dist45",16,20
"Well this begs more questions!! #WTH #immunity?? https://t.co/JDuN9jHXLR",16,20
"RT @BPDLt_Reed: Watching my son play #soccer at the @bellevuesc on the @SenCrawford field! https://t.co/D6hirlljfm",16,20
"BOOM!! 10 Bills 49-0!! #ialegis @IowaSenate https://t.co/kUanlWBAVx",16,7
".@BellevueSchools &amp; @Food4Heartland mobile food pantry comes to the BPS Lied Activity Center tomorrow, 5-6:30pm. https://t.co/NEKyfm1fjw",16,7
"@IowaHeather @IowaSenate 10 bills, Bi Partisan Support!! In One DAY!",16,20
"Omahas @NEDHHS meeting on Developmental Disabilities waivers &amp; BSDC/Bridges services is Friday at 6:30 pm. Detials: https://t.co/eTLqt9ljPa",16,20
"Afternoon debate, 11 bills and the Gun Bill. #ialegis @IowaSenate https://t.co/bb5HiJm5c5",16,20
"Another @NEDHHS town hall opportunity. This one on Heritage Health managed care program, in Omaha Monday. Details: https://t.co/DqiTrjoA80",16,20
"Debate has begun! #ialegis @iowasenate https://t.co/zCM9ZY1xCH",16,20
"FYI: @NDOR project will temporarily close Platteview Road in Sarpy County; tentative plan to start Oct 1. Details: https://t.co/wiaKIp6NHK",16,20
"Longer trucks pass! 50-0! #ialegis @iowasenate https://t.co/jxXLPTQ4eb",16,20
"All are welcome to learn about choosing a Medicare Part D drug plan at Heritage Ridge, 1-2 pm on Tues 9/22. Details: https://t.co/Vr68jLaOvj",16,20
"First 3 bills! 50 - 0! #ialegis @IowaSenate https://t.co/naZIkPpKth",16,20
"Reminder to join me tomorrow at Heritage Ridge in Bellevue, 1-2 pm, for a presentation on picking the right https://t.co/6DpgQ6FAqB",16,20
"Gun Bill deferred! #ialegis @IowaSenate https://t.co/jmXn9StGdA",16,2
"Applications for 2017 Legislative Page Program due Oct 3. Great opportunity for college students. Contact my office for info: 402-471-2615.",16,2
"Still waiting on an amendment for the HF517! #ialegis @IowaSenate https://t.co/rTEXr8PUaY",16,20
"Great turnout at todays Heritage Ridge Medicare presentation; thanks to presenter Bobbie Kierstead! For info https://t.co/kyk7bCd7QY",16,20
"Today is Pioneer Lawmaker Day! #ialegis @IowaSenate https://t.co/KxwvPxqhhl",16,10
"Targeted job fair for military, veterans &amp; dependents in Lincoln on Tues Nov 1, 11-2. For more info and to register: https://t.co/Dm1dxNjoO2",16,10
"Private Sector employee drug testing today! SF 32 #ialegis @IowaSenate https://t.co/KRuWWhGzAm",16,20
".@MilitaryTimes ranked @cccnebedu the top 2-year college in the nation for vets. Congrats &amp; keep up the good work! https://t.co/6ZJzqP3w1h",16,20
"Bout to Vote on 9 non con bills!! Well maybe 1 with some contention. #ialegis @IowaSenate https://t.co/S8MueVe1wm",16,2
".@MilitaryTimes also ranked @UNOmaha the best 4-year college in the nation for vets. https://t.co/QIh4QHJ5Pc",16,2
"Pray NO CAUCUS!! #ialegis @IowaSenate https://t.co/BerK9iAMl6",16,20
"And @MilitaryTimes recognized @BellevueU as the 6th-ranked online/non-traditional college for vets in the nation. https://t.co/p6DjZr8mz6",16,20
"This I will help with! I too am getting lots of calls. #ialegis @IowaSenate @jackwhitver https://t.co/LStoJnfXbi",16,20
"Ads that target a candidate right before an election are election spending and should follow disclosure rules. https://t.co/NdP9E15YPd",16,20
"Arguing over Purple Paint! #ialegis @IowaSenate https://t.co/5d93lkO1HZ",16,20
"Proud to stand today with fellow senators in support of a package of bills to prevent sexual assault and protect https://t.co/oy8mGmvloS",16,20
"Major General Orr Confirmed Adjutant General 49 - 0. #ialegis @IowaSenate https://t.co/Xm2XkrSq6h",16,20
"Today in the #neleg #dist45 https://t.co/q1P5zjbtVd",16,20
"Uh-Oh, called to a breakfast meeting! @sixersoldman https://t.co/ACPuFXo9I7",16,2
"Happy Birthday Nebraska! #neleg #dist45 https://t.co/vWfxUoz1Y9",16,2
"Of all these things we do protecting victims should be a priority. #Ialegis @IowaSenate https://t.co/5jTcgGWIgr",16,2
"Today is NEs 150th bday &amp; the #neleg welcomed Nebraskans to the Capitol to celebrate. Full listing of 2017 https://t.co/x1Rjp30Xiz",16,2
"RT @WesBreckenridge: Please plan on attending the Public Hearing on the state budget! https://t.co/1buQv5SQJm",16,20
"Today in the #neleg #dist45 https://t.co/o58rtBbaqQ",16,20
"Its ALIVE in 2017!  @iowaspeedway https://t.co/b6FbUUiThL",16,13
"Today in the #neleg #dist45 https://t.co/HK20i9dfj0",16,13
"Todd @SenTodBowman Speaking on the Senate Floor on Education!! #ialegis @IowaSenate https://t.co/RATLsp2lKc",16,1
"Today in the #neleg #dist45 https://t.co/gS4fcYMLFP",16,1
"Senator @RandyFeenstra Runs Property Tax Assessment Appeal Board Bill. #ialegis @IowaSenate https://t.co/Ok0HOjnEf9",16,6
"Enjoyed talking to students from @ChieftainNation, @TbirdEMPIRE, @ThayerCentral and @wcpawpride at the 2017 Sophomore Pilgrimage!",16,6
"Tod (with one D) @SenTodBowman Putting down the facts. #ialegis @IowaSenate https://t.co/Zs3gpZAsPb",16,20
"Today in the #neleg #dist45 https://t.co/ZRapEop4Vt",16,20
"$1,794,365,942 Budget. #ialegis @IowaSenate https://t.co/MPEO4vtwKl",16,1
"Today in the #neleg #dist45 https://t.co/8EQRjKWqOE",16,1
"Looks like 1 more day at the capitol! #ialegis @IowaSenate https://t.co/ya1lcRvs4X",16,20
"4th graders from @BerthaBobcats &amp; @CougarsCE in Bellevue visited the Capitol this morning. It was wonderful to https://t.co/3qzL0VavjN",16,20
"Hey House of Representatives! #ialegis @IowaSenate https://t.co/rdeFsXUOXd",16,1
"Today in the #neleg #dist45 https://t.co/7tmqf4Fz5Q",16,1
"House PLEASE!! Still Waiting?? #ialegis @IowaSenate https://t.co/Wy2hX2jvZD",16,20
"Today in the #neleg #dist45 https://t.co/OxFcUX5xnP",16,20
"Goonies Never Die!! Come on House!! #ialegis @IowaSenate https://t.co/5Bi35t6t1w",16,1
"Today in the #neleg #dist45 https://t.co/amMkpaNnIv",16,1
"I think we are stuck in a negotiation! #ialegis @IowaSenate https://t.co/39ckixOUWl",16,0
"This AM @SarpyCountys State of the County discussed LB253 - cities can collaborate on sewer development south of https://t.co/gkrt0NgTmN",16,0
"House Suspended its rules! They can now work (i.e. keep their members late / no work going on) past https://t.co/iBgcLftaxl",16,20
"Yesterday I got to welcome the 4th graders of @Chandler_View to their Capitol. They visited on the very last day https://t.co/CAPOxL18kM",16,20
"Here we go! @NASCAR @iowaspeedway  We got the Goody out today at Iowa! 500 laps over two days! https://t.co/lUJpDqINqK",16,20
"Great friends and great times at #NDPsalute! @NebraskaDems https://t.co/roshXkQVlu",16,20
"1st Day back to work, kinda feel like this guy! #ialegis @IowaSenate https://t.co/3EfSmUHIvS",16,20
"Thankfully, our chicks are back in the nest--healthy and happy! Many blessings to you--remember to give thanks! https://t.co/5gwMBTKHlJ",16,20
"@DrakeUniversity @NateBoulton @DrakeRelays Big Lou was gracious in his defeat and met a lot of new friends!",16,20
https://t.co/3pjK9hvqva,16,20
"Please stop raining! #Enough https://t.co/E2nFV80JlM",16,17
"I searched for this sacred turtle-protect earth!  Sacred Turtle Dies at an Awkward, Some Say Ominous, Time https://t.co/B5M0KieKpL",16,17
"@RepDavidYoung Hanging out with Big Lou a Beautiful Drake Bulldog contestant, wasnt the winner but we still like https://t.co/WBGN9Ma65Q",16,1
"No Labels, Civility, Compassion, Communication &amp; Love! Great ideals by which to live. Please join me--trying daily!
https://t.co/1wpIrTt8hS",16,1
"Just saw Senator @NateBoulton Announcement video online!! Very Well Done!!! Go Getm!! #ialegis @IowaSenate https://t.co/Fp9Iq0SPYs",16,20
"Today introducing LB843-protects women from Human Trafficking-wearing Alice Paul necklaceno advocate of passivity! https://t.co/7Z1VoA4kOL",16,20
"@thehill Really? https://t.co/y8O16qaKbl",16,0
"Listening to the husband of our next President! Go Hillary! https://t.co/zQzFlD9LHw",16,0
"@thehill WOW! https://t.co/fA0BWgJeRD",16,20
"Precious!!! https://t.co/aNOy9whlhw",16,20
"@ronmparker29 Important PSA! https://t.co/ufykW5M8rg",16,20
"DiAnna Schimek!  My role model and mentor!!! #NDPSalute https://t.co/Rv8bDWccRY",16,20
"@MurphyKeith Come to the Jasper County Treasurers Office. No Line. @sixersoldman Drive for 30 minutes dont stand.",16,7
"My view as I leave the Session tonight!  What a glorious place to get to work!  Thank you LD28! https://t.co/ixUYmL8CpN",16,7
"@allen_morg Youve only had 2 days of class!",16,16
"#TBT #ThrowbackThursday! My bill, LB245, which passed in 2015, made important reforms to our criminal justice system https://t.co/hUAI4JqzC0",16,16
"#truth https://t.co/KqfwKKspBq",16,0
"I applaud the Liquor Control Commission for considering requiring relicensing of #Whiteclay liquor stores. #NELeg https://t.co/q6OYB7dwFU",16,0
"Now that I am a Hawkeye for the next 4 years!! @nick_easley @TheeHOCK8 Raised a Charger, elected a Cardinal https://t.co/esHJKOKUKu",16,0
"RT @UNLLearnCom: Thanks to State Senator @Patty4Nebraska for hosting our Pre-Law LC for a great visit to the Nebraska State Capitol this",16,0
"@CCAtweet Its one of those, youll know it when you see But youll see it soon!",16,8
"Thanks to @voicesNE for this graphic showing the cost saving benefit of ensuring all juveniles have access to https://t.co/PdIhLQ9IZO",16,8
"#RenewableEnergy is Important! #Jobs https://t.co/c1SByrtn4t",16,8
"RT @HollandMovement: Senator @Patty4Nebraska introduced legislation to increase the earned income tax credit for Nebraskans!",16,8
"Made good on my #maytagdairy bet @NateBoulton Congratulations to @sep_football on your victory last Friday! https://t.co/NGhS1Bh5cO",16,8
"Join us at 5 on the north side of the Capitol to stand with those impacted by Trumps recent Executive Orders.

https://t.co/clLk6MZhnY",16,8
"Oh Snap! #independenttrucker https://t.co/0Enju0IIFw",16,8
"So proud of our community. We must continue to fight to ensure we remain the beacon of freedom, liberty, &amp; https://t.co/6Y041TwW19",16,8
"Pretty cool! https://t.co/4ikIUHNRea",16,8
"RT @neappleseed: Sen. @Patty4Nebraska opens hearing on LB69, which would strengthen a key tax credit for working parents. We support!",16,8
"@AmericanAir Great recovery! Nice job!",16,5
"RT @stoddardOWH: Casey Kasem daughter, Kerri, and Mickey Rooney daughter, Kelly, here for #neleg bill to stop isolation of elders from",16,5
"@AmericanAir  https://t.co/bvkT22vqwX",16,5
"RT @JournalStarNews: Famous daughters testify for family right-to-visitation bill https://t.co/tA8Uh7QQzj https://t.co/uBfMRmEt23",16,5
"Are you kidding me!! #SteelersNation",16,20
"RT @HollandMovement: @Patty4Nebraska We support your work to address this #publichealth crisis. Thank you for your resolute advocacy for",16,20
"@ELeeBakker Ha! They didnt score! https://t.co/fEaoG3qM1B",16,0
"RT @LincolnChamber: Proud to stand with @Adam_Morfeld and @Patty4Nebraska in support of Workplace Fairness. #LB173 https://t.co/9n4qnAJn97",16,0
"@BriMarieDee88  https://t.co/2Kr0qmGIEa",16,8
"RT @zachami: Measure to form #Whiteclay task force advances from #neleg committee 7-0, with Larson abstaining &amp; Scheer not present.",16,8
"RT @BMSupdates: These #NFL games are fun, but were ready for racing season! #NASCAR https://t.co/CQhkbZtaYs",16,6
"Happy Birthday, Nebraska! Everett Elementary students sang Happy Birthday to help celebrate this historic https://t.co/dQMZebHTbT",16,6
"It was an honor this week to be on Iowa Press. This episode airs tonight at 7:30 and Sunday at noon.",16,1
"RT @zachami: .@Patty4Nebraska really pleased w broad support. It will be necessary for the governor to jump on and be supportive.",16,1
"Please join me at 3:00 pm for our National Moment of Remembrance.  Lets honor those fallen and present who have served our country.",16,0
"RT @emnohr: .@Patty4Nebraska bill aimed at tackling public health crisis in Whiteclay gets strong first-round approval in #neleg",16,0
"As Iowa students return to school, our education reforms position students and schools for excellence. https://t.co/LEpbp0xIou",16,2
"@girlsplaining Interesting read, thank you! Definitely something to look into this interim.",16,2
"Tax reform allows Iowans to keep more money in their pocket and stimulate economic growth. https://t.co/1UtEiX3uyr",16,3
"Landmark ruling: workers may not be fired for sexual orientation. Lets hope #NeLeg follows suit tomorrow on LB173.

https://t.co/eOFt8ryp2b",16,3
"Local elections are more important now, than ever. 
https://t.co/uk1gIk85bZ",16,5
"RT @AutumnBurnsNE: @Patty4Nebraska speaking for discrimination protection for all #LB173 #neleg https://t.co/OmjLl69rOA",16,5
"I enjoyed my visit yesterday with Dr. Roger Main, Director of Veterinary Diagnostics Lab at Iowa State University. https://t.co/leN9L3IkCk",16,6
"RT @DailyNeb: One Nebraska mother is working to add a definition to dyslexia to state statute. https://t.co/zZLIcPjWJX",16,6
"Substantial pro-growth tax reform has been a priority for me since my first term in the Iowa House. https://t.co/Z2Nm1AfqsX",16,1
"RT @voicesNE: .@Patty4Nebraska: access to counsel a Const. right, we cannot balance our county, state, or court budgets on the backs of",16,1
"As Iowa farmers continue to work through harvest this year, the ripe fields remind us of the special place we live. https://t.co/Uwc9R6cfUu",16,20
"RT @voicesNE: .@Patty4Nebraska: juvenile court is complex, life-changing, children can be removed from their homes &amp; placed in jail-like",16,20
"During last session Senate Republicans pushed for increased local control for schools across Iowa. https://t.co/W9FTNujfOG",16,1
"RT @OWHopinion: .@Patty4Nebraska and Sen. Paul Schumacher write about the need for @NECorrections to use #solitaryconfinement less.",16,1
"Ending Iowas Opioid Epidemic:
https://t.co/Dzs9VoFKzr",16,0
"RT @fredmknapp: #Nebraska Liquor Control Commission chairman Bob Batt moves to deny relicensing Whiteclay beer stores based on inadequate",16,0
"The solution to slow revenue growth is stronger economic growth. #ialegis https://t.co/twUJzhISLv",16,1
"Great news! However, there is more work to be done. Just the first step on the road to bringing hope and healing https://t.co/A5BP4ckfyl",16,1
"Plan to take a few minutes next Tuesday to make your voice heard in municipal elections in your community. https://t.co/tv6ygByht4",16,4
"RT @OmahaWomensFund: Quit giving benefits to the wealthy. Help the middle class, help the poor. - Sen. @Patty4Nebraska #Stop461",16,4
"So happy that Jacob Bossman stepped up in IA House 6 as Retiring Jorgensen departs. We have our candidate...now get to knocking Jacob",16,6
"RT @voicesNE: .@Patty4Nebraska says cuts wont help current budget crisis, will hurt working Nebraskans #NELeg #SavetheGoodLife #Stop461",16,6
"RT @SCJBretH: Sioux City Republican Jacob @IowaBossMan held press event to announce #ialegis House bid. He got endorsed by Sens. Bertrand,",16,3
"This is a fabulous first step in bringing hope and healing back to #Whiteclay! However, the true work is just https://t.co/5ABbbFFnPy",16,3
"Cannot say enough about this man and his love for all things Iowa. Congrats Gov. @TerryBranstad on another milestone https://t.co/ThRqfj0vjH",16,1
"LB122 passed 47-0 on Final Reading today! Thanks to @BakerNELeg for sponsoring this bill to ensure loved ones https://t.co/U3AruJhwl2",16,1
"To all my friends in NW Iowa, I want to be clear that I have &amp; will always stand with Renewable Fuels #RFS https://t.co/FFxgp93Vaa",16,20
"LB327s changes to Title X Funding is nothing more than a thinly veiled attack on Womens Healthcare access all across our State. #NeLeg",16,20
"RT @stephenfhayes: Heres the beer I mentioned on Special Report tonight. @DoCoBrewingCo in Door Cty, WI. Im partial to Polka King Porter",16,8
"RT @fredmknapp: Sen. @Patty4Nebraska Pansing Brooks on decision reversing license denial for #Whiteclay beer stores https://t.co/GcFIBJvt4D",16,8
"At Condition of IA National Guard-amazing praise &amp; recognition for Sioux Citys 185th. Sioux City Proud. #Mission Ready",16,0
"RT @zachami: .@GovRicketts signed @Patty4Nebraska bill forming #Whiteclay task force today. Task force plans meeting May 19-20",16,0
"RT @TysonEventsCent: .@KeithUrban .@bretteldredge .@MarenMorris #RipCordWorldTour 10/7!  On sale next Friday ===&gt; https://t.co/q9bDDhRgLY",16,5
"Please to get to meet my Juv Justice Co-Chair @KyWhitney @NCSLorg as well! Important work to do together for https://t.co/0kIT3jMIg3",16,5
"RT @IowaGOP: Iowa Senate Republicans have Momentum! https://t.co/Fw4dRpyL07",16,3
"RT @KerriKasem: Its official NEBRASKA passed the Didier/@KasemCares Visitation Bill thanks to our courageous Senator Patty Pansing",16,3
"RT @IowaSOS: Iowa @SenatorBertrand (R) has filed to run for U.S. House in Iowa CD 4. Bertrand has served in #IASenate since 2010",16,20
"RT @NebraskaReform: Thank you @Patty4Nebraska and Sen. Mike McDonnell for recognizing that returning citizens should have a voice in our",16,20
"Bertrand stepping on podium to address full house here in Sioux City about his potential #IA04 congressional run",16,1
"RT @mrsbethericson: Force kids to be held back, cut funding to education, and then expect miracles....where is that story? ",16,1
"Bertrand - Six years ago this community elected the first Republican state senator to represent Sioux City in over 30 years",16,0
"RT @ACLUofNE: Since the failed war on drugs began, prisons skyrocketed to 159% of capacity. https://t.co/lakFeQfj46",16,0
"I went to Des Moines as a newcomer, an outsider, someone who had never held public office. - Rick Bertrand on #IA04 address",16,4
"RT @NE150: May 12, 1879, Judge Elmer Dundy ruled that an Indian is a person within the meaning of habeas corpus. A huge victory for",16,4
"My vision expands and solidifies our agricultural standing in the world. - Rick Bertrand after announcing #IA04 run.",16,20
"Thank you @MattHansenNE for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/kipdK7HZSY",16,20
"Bertrand believes that with completion of Highway 20, NW Iowa represents the new economic frontier in Iowa.",16,20
"Thank you @votemccollister for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/iSIMvddtMh",16,20
"Im Rick Bertrand, Im real, and Im running! - Senator Rick Bertrand announcing candidacy for Iowas 4th District.",16,4
"Thank you @LydiaBrasch for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/Qzox2tHyYV",16,4
"Thanks to my local TV and Radio markets Jaclyn at @kpth44 @kmeg14 and Charlie at @kscj1360 for a great, positive experience this morning!",16,1
"Thank you @votehilkemann for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/729CDDI6rB",16,1
"RT @jasonnobleDMR: Breaking: Top Iowa GOP donor Bruce Rastetter says he is supporting @SenatorBertrand in #IA04 primary against @SteveKingIA",16,20
"Thank you @ddquick57 for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/X9HpC9TXTV",16,20
"Great time with the @IStateCRs and @theAlexHanson last night laying out my positive vision for the future of Iowa. https://t.co/P9NWiGq7O0",16,20
"Thank you @TomBrewerForNe for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/jjPpshmTHt",16,20
"He is risen! Have a blessed Easter!",16,20
"Thank you @RickKolowski for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/ZJLTV9W3wa",16,20
"So grateful 4 the tour at Royal Beef with Jim and his wife Julie sharing our vision and optimism about #IowaAg https://t.co/a3zawwxxCI",16,20
"Thank you @NECatholic for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/AjM5y6AXpK",16,20
"Great, positive conversation with some of the many Iowa Corngrowers this afternoon #IowaAg @iowa_corn https://t.co/RsPXKiz6ih",16,0
"Thank you @nebfamily for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/BzFMPjVoor",16,0
"I had a great morning talking with small business owners in Spirit Lake today! https://t.co/W8aWIqPXDJ",16,0
"Thank you @OmahaWomensFund for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/WJEdMFsS5t",16,0
"Huge victory for the thousands of gun owners in Iowa as Gov. @TerryBranstad signs HF 2279 into law which legalizes suppressors! #Freedom",16,4
"Thank you @Adam_Morfeld for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/CZF26626KF",16,4
"Saw a lot of good friends at the Woodbury County Republican meeting in Sioux City tonight https://t.co/sDk3LxVRzj",16,7
"Thank you @NebraskaAnna for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/4jZJQELsEQ",16,7
"Started the day off right: Great conversation with Cherokee small business owners about my vision for #IA04 https://t.co/Mhss7gUxUR",16,0
"Thank you @mikehilgers for supporting bill to stop the despicable trade of Human Trafficking in NE! https://t.co/NRpaYqnYzB",16,0
"Wow! What a tour today of Quad County Corn Processors ethanol plant. Only 1 in USA producing cellulostic #IowaProud https://t.co/PyVkznjBgU",16,15
"Thank you @nicolecousinstv for your fabulous piece on the recent passage of my bill increasing the penalties for https://t.co/LPb9hyVcAQ",16,15
"Sat down this afternoon with QCCP Board and learned more about Ag &amp; Ethanol issues and shared my vision for future. https://t.co/49DDZSw1dD",16,2
"RT @micheletilley: .@Patty4Nebraska We have to protect the youngest. We have to protect the most vulnerable. If not, why in the world",16,2
